EmployeeID,FullName,Age,Gender,Department,Designation,EducationQualification,MonthlySalary,DateOfJoining,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,MaritalStatus,PreviousCompanies,DistanceFromHome,LeavesTaken,City,LeftCompany
EMP20231534,Mishti Goel,25,Female,Accounts,Accounts Officer,B.Tech,79875,7/14/2018,7,4,3,17,No,3,1,Married,4,46.7,22,Pune,No
EMP20231535,Taimur Lall,30,Female,HR,Sales Associate,M.Com,40873,4/25/2019,6,0,1,1,No,3,1,Divorced,0,48.4,21,Pune,Yes
EMP20231536,Eshani Biswas,22,Female,Admin,Sales Associate,M.Com,81708,11/30/2017,8,8,5,18,No,1,4,Divorced,0,49.2,28,Hyderabad,No
EMP20231537,Yuvaan Kaul,45,Male,Accounts,Accounts Officer,B.Tech,103734,10/18/2020,5,4,2,37,Yes,1,3,Divorced,1,1.3,9,Chennai,Yes
EMP20231538,Vaibhav Dua,27,Other,Accounts,Software Engineer,M.Com,91620,3/29/2018,7,4,1,15,No,4,4,Single,2,29.9,3,Kolkata,No
EMP20231539,Sara Sethi,26,Male,Sales,Accounts Officer,M.Com,74237,7/12/2023,2,2,1,0,No,4,4,Single,1,19,26,Pune,No
EMP20231540,Zain Dutt,26,Female,Sales,Sales Associate,B.Tech,72362,12/14/2023,2,2,5,47,Yes,2,2,Married,5,42.6,18,Kolkata,No
EMP20231541,Oorja Borde,29,Male,Sales,HR Executive,MBA,41188,6/5/2023,2,1,2,11,No,5,2,Single,2,13.6,29,Pune,No
EMP20231542,Tarini Gill,42,Other,Admin,Software Engineer,B.Tech,64615,4/11/2023,2,1,1,11,No,1,4,Divorced,2,2.9,9,Pune,Yes
EMP20231543,Jayant Tandon,44,Other,Sales,Software Engineer,BA,59747,4/27/2020,5,2,2,19,No,1,4,Single,3,25.5,8,Kolkata,No
EMP20231544,Anika Khanna,24,Male,HR,HR Executive,MBA,94142,10/9/2017,8,7,2,52,Yes,4,4,Married,5,21.4,29,Chennai,No
EMP20231545,Himmat De,58,Male,Sales,Accounts Officer,B.Tech,64081,12/24/2019,6,1,1,9,No,4,3,Married,0,28,23,Kolkata,No
EMP20231546,Neelofar Bir,48,Other,IT,Software Engineer,M.Com,37620,1/13/2018,7,5,1,31,No,3,3,Single,2,29.2,10,Pune,No
EMP20231547,Ehsaan Rau,59,Other,Admin,Accounts Officer,M.Com,67144,8/9/2020,5,2,1,52,Yes,3,3,Married,2,35.9,19,Mumbai,No
EMP20231548,Diya Chadha,58,Male,Admin,Office Assistant,B.Tech,113773,7/26/2015,10,3,4,50,No,3,1,Married,2,23,17,Bengaluru,No
EMP20231549,Pihu Loke,39,Other,Admin,HR Executive,Diploma,93596,10/3/2022,3,0,5,14,No,5,2,Divorced,2,28.7,6,Bengaluru,No
EMP20231550,Himmat Setty,44,Male,Admin,Sales Associate,Diploma,98369,8/13/2016,9,4,5,12,No,3,3,Divorced,4,35.8,13,Chennai,Yes
EMP20231551,Samaira Shenoy,37,Female,HR,Office Assistant,MBA,34772,5/17/2019,6,2,1,23,Yes,2,3,Married,4,48.6,30,Delhi,Yes
EMP20231552,Suhana Borah,40,Male,Accounts,HR Executive,MBA,16209,9/19/2016,9,4,5,55,Yes,4,3,Single,2,19.5,25,Chennai,Yes
EMP20231553,Gatik Chacko,30,Other,HR,Office Assistant,MBA,111829,3/28/2023,2,1,3,28,Yes,1,1,Divorced,3,40.1,6,Chennai,Yes
EMP20231554,Divij Khalsa,44,Male,Sales,Sales Associate,BA,108967,9/26/2016,9,2,1,5,No,1,3,Married,3,27.9,18,Pune,Yes
EMP20231555,Ishaan Seth,24,Other,HR,Office Assistant,Diploma,83328,4/9/2016,9,0,5,24,No,4,3,Single,5,27.9,19,Hyderabad,No
EMP20231556,Jivin Sant,24,Male,Accounts,Sales Associate,MBA,19770,3/12/2016,9,6,4,58,No,5,2,Married,5,44.6,9,Mumbai,No
EMP20231557,Dharmajan Sankar,46,Female,Accounts,Software Engineer,M.Com,28373,2/1/2024,1,1,2,25,No,4,4,Married,4,44.1,10,Pune,Yes
EMP20231558,Jivika Dalal,49,Other,HR,Office Assistant,B.Tech,55325,11/22/2018,7,4,5,55,No,1,4,Divorced,5,48.7,13,Hyderabad,No
EMP20231559,Reyansh Reddy,35,Male,IT,Software Engineer,Diploma,75426,8/14/2017,8,7,1,22,Yes,4,2,Divorced,5,19.9,8,Bengaluru,No
EMP20231560,Dishani Sur,52,Other,Accounts,Accounts Officer,MBA,18289,9/10/2016,9,3,4,58,No,2,4,Married,5,3.1,0,Kolkata,No
EMP20231561,Riaan Dutta,30,Female,Admin,HR Executive,MBA,107224,7/10/2018,7,2,5,46,Yes,2,2,Single,5,33.1,23,Bengaluru,Yes
EMP20231562,Mishti Lalla,36,Male,Sales,Office Assistant,BA,98088,8/21/2016,9,2,4,29,No,2,1,Married,3,9.5,0,Mumbai,Yes
EMP20231563,Ishaan Vaidya,36,Female,HR,Office Assistant,B.Tech,34152,8/24/2017,8,1,5,46,No,5,2,Single,5,21.9,14,Hyderabad,Yes
EMP20231564,Indrajit Dixit,24,Male,HR,Software Engineer,MBA,68915,4/10/2024,1,0,4,47,No,2,2,Divorced,2,7.9,6,Delhi,Yes
EMP20231565,Saira Suresh,49,Female,IT,Accounts Officer,BA,33240,7/5/2020,5,2,2,16,Yes,2,1,Married,4,49.8,17,Chennai,Yes
EMP20231566,Shaan Dar,50,Other,Admin,Accounts Officer,Diploma,105722,8/24/2016,9,0,2,14,Yes,1,1,Single,2,30.4,30,Hyderabad,No
EMP20231567,Oorja Contractor,28,Male,HR,Accounts Officer,Diploma,75912,9/24/2021,4,0,1,12,Yes,5,3,Single,0,35.8,19,Delhi,No
EMP20231568,Ranbir Handa,60,Male,Sales,HR Executive,M.Com,55263,3/25/2023,2,2,4,37,Yes,1,3,Single,2,17.8,13,Bengaluru,Yes
EMP20231569,Indrajit Karan,32,Female,HR,Sales Associate,MBA,106406,4/26/2016,9,1,2,50,No,5,2,Single,3,46.1,3,Chennai,No
EMP20231570,Nirvaan Thakur,35,Female,Sales,HR Executive,M.Com,96303,12/31/2020,5,3,5,10,No,3,1,Divorced,0,45.3,3,Hyderabad,No
EMP20231571,Elakshi Choudhury,59,Female,Admin,HR Executive,Diploma,107028,12/15/2023,2,1,1,37,No,2,4,Divorced,4,45.1,0,Delhi,No
EMP20231572,Rati Rana,33,Female,IT,Software Engineer,M.Com,70679,5/11/2022,3,0,2,9,Yes,4,4,Single,4,43.9,1,Delhi,No
EMP20231573,Tara Dewan,52,Other,Admin,Sales Associate,M.Com,58967,12/16/2021,4,3,2,0,No,5,1,Divorced,4,40.3,9,Delhi,Yes
EMP20231574,Fateh Sen,31,Other,IT,Software Engineer,BA,49745,9/8/2019,6,1,2,9,Yes,3,2,Married,1,47.3,8,Hyderabad,No
EMP20231575,Arnav Garde,27,Female,Accounts,Sales Associate,Diploma,70922,10/12/2020,5,0,2,9,No,1,1,Married,4,24.4,3,Pune,Yes
EMP20231576,Mishti Srinivasan,38,Male,Sales,Software Engineer,BA,81124,12/21/2017,8,0,3,26,No,2,4,Married,3,28.1,11,Chennai,Yes
EMP20231577,Vidur Lanka,27,Other,IT,Office Assistant,M.Com,82536,11/29/2022,3,0,3,60,Yes,3,2,Single,3,6.5,23,Mumbai,Yes
EMP20231578,Piya Andra,32,Male,HR,Office Assistant,BA,21243,8/27/2016,9,9,3,43,Yes,2,2,Divorced,0,36.8,0,Delhi,Yes
EMP20231579,Taran Boase,40,Female,Admin,Software Engineer,BA,24861,11/8/2015,10,5,4,50,No,5,3,Married,3,46.4,19,Mumbai,No
EMP20231580,Eva Kurian,26,Other,HR,Accounts Officer,Diploma,71539,2/2/2024,1,0,4,17,Yes,2,4,Divorced,5,7.4,0,Pune,Yes
EMP20231581,Prerak Chadha,48,Other,Sales,Office Assistant,BA,18910,5/30/2020,5,4,4,48,Yes,5,3,Divorced,2,22.6,1,Chennai,No
EMP20231582,Madhav Dada,60,Female,Accounts,Software Engineer,BA,77335,6/10/2022,3,0,4,54,No,5,2,Divorced,3,31.1,30,Chennai,No
EMP20231583,Jhanvi Karan,36,Male,Sales,HR Executive,MBA,64757,3/12/2022,3,2,3,9,No,5,2,Single,0,7.8,13,Kolkata,Yes
EMP20231584,Zeeshan Sharaf,32,Male,Admin,Software Engineer,BA,113234,1/9/2023,2,2,3,5,No,4,3,Married,3,46.3,1,Mumbai,Yes
EMP20231585,Aarna Chandran,22,Female,Accounts,Software Engineer,M.Com,24714,9/24/2022,3,1,3,16,Yes,2,1,Married,5,44.4,20,Chennai,Yes
EMP20231586,Aaryahi Roy,51,Male,Accounts,Accounts Officer,M.Com,95719,11/22/2020,5,0,3,51,No,4,2,Divorced,1,44.8,24,Mumbai,No
EMP20231587,Damini Thaker,40,Female,Sales,Accounts Officer,Diploma,15232,8/10/2019,6,1,2,39,No,1,4,Divorced,5,15.1,1,Pune,Yes
EMP20231588,Heer Suri,30,Female,Admin,Accounts Officer,Diploma,50794,3/8/2024,1,0,4,9,Yes,2,2,Divorced,4,34.5,13,Pune,Yes
EMP20231589,Tara Shenoy,40,Male,IT,Office Assistant,BA,89369,2/12/2018,7,2,3,46,No,5,2,Married,2,10.2,22,Mumbai,No
EMP20231590,Nehmat Dhaliwal,42,Male,HR,HR Executive,BA,76670,4/27/2016,9,4,1,0,No,5,4,Divorced,1,1,12,Mumbai,No
EMP20231591,Ojas Jayaraman,39,Other,Sales,Office Assistant,M.Com,30647,6/30/2022,3,2,1,3,No,3,1,Married,5,42.4,19,Hyderabad,No
EMP20231592,Darshit Kala,54,Other,HR,Accounts Officer,Diploma,41082,12/19/2019,6,5,2,51,No,3,4,Single,1,45.2,5,Mumbai,Yes
EMP20231593,Madhup Subramanian,30,Other,Admin,Accounts Officer,MBA,108532,7/5/2020,5,1,3,37,No,1,3,Divorced,0,24.8,7,Bengaluru,No
EMP20231594,Madhav Sridhar,24,Other,Sales,HR Executive,B.Tech,112171,7/13/2021,4,0,3,25,No,5,3,Divorced,2,16.9,21,Kolkata,No
EMP20231595,Adah Ray,53,Male,Sales,Accounts Officer,B.Tech,79796,12/13/2020,5,4,5,8,No,1,2,Married,4,46.3,7,Delhi,No
EMP20231596,Eshani Sangha,34,Male,HR,Sales Associate,BA,27336,8/8/2018,7,1,3,11,Yes,2,2,Married,4,39.2,17,Hyderabad,Yes
EMP20231597,Vidur Dara,56,Male,Admin,Office Assistant,Diploma,95047,6/19/2016,9,9,2,18,No,1,3,Single,4,39.9,28,Bengaluru,Yes
EMP20231598,Himmat Chaudhuri,53,Other,Accounts,Accounts Officer,B.Tech,20407,7/3/2017,8,5,1,38,No,3,1,Single,1,31.7,2,Pune,No
EMP20231599,Diya Swamy,47,Female,Sales,Software Engineer,MBA,19805,12/2/2018,7,7,3,48,No,1,3,Married,4,3.2,8,Delhi,No
EMP20231600,Chirag Bora,34,Female,IT,Office Assistant,Diploma,26447,7/17/2016,9,1,1,19,Yes,4,2,Divorced,1,11.6,29,Delhi,Yes
EMP20231601,Navya Chacko,60,Other,Accounts,Software Engineer,B.Tech,100684,6/10/2020,5,1,5,6,Yes,2,3,Divorced,2,1.1,12,Pune,No
EMP20231602,Eshani Dugar,58,Male,Sales,Accounts Officer,B.Tech,45290,4/16/2023,2,2,4,56,Yes,1,1,Married,0,13.5,15,Bengaluru,Yes
EMP20231603,Samarth Hayre,30,Male,HR,Office Assistant,MBA,88460,4/22/2024,1,0,1,33,No,4,3,Married,0,21.4,24,Kolkata,Yes
EMP20231604,Nitya Karpe,51,Female,IT,Office Assistant,MBA,25923,9/26/2016,9,6,5,20,Yes,2,4,Married,1,9.8,19,Kolkata,No
EMP20231605,Mehul Sundaram,49,Female,Sales,Sales Associate,M.Com,16961,11/7/2022,3,0,4,53,No,5,3,Single,4,46.4,15,Kolkata,No
EMP20231606,Damini Ghose,51,Female,Sales,Office Assistant,BA,105469,7/27/2021,4,1,2,3,No,2,1,Single,1,29.1,4,Delhi,Yes
EMP20231607,Arhaan Virk,38,Female,HR,Software Engineer,Diploma,51749,6/2/2017,8,8,4,2,Yes,4,4,Married,5,39.9,10,Chennai,No
EMP20231608,Pari Lala,24,Other,HR,Software Engineer,M.Com,31049,7/22/2016,9,3,5,11,Yes,3,3,Divorced,3,17,7,Hyderabad,No
EMP20231609,Nayantara Wagle,32,Female,IT,Sales Associate,B.Tech,83505,9/18/2023,2,1,1,44,No,4,3,Divorced,5,47.4,3,Bengaluru,No
EMP20231610,Aaryahi Kalita,44,Other,Admin,Accounts Officer,M.Com,82917,3/27/2024,1,0,4,39,No,1,4,Single,0,41.8,0,Bengaluru,No
EMP20231611,Zain Dugal,22,Female,Admin,HR Executive,Diploma,117430,11/11/2021,4,0,5,54,No,2,3,Divorced,1,30.3,7,Bengaluru,No
EMP20231612,Shaan Sharma,37,Other,Accounts,Office Assistant,Diploma,48473,1/10/2017,8,6,4,56,Yes,2,2,Divorced,1,37.7,28,Chennai,Yes
EMP20231613,Dhanush Walla,40,Female,IT,Office Assistant,M.Com,117435,6/8/2017,8,7,3,14,No,2,3,Single,2,10.3,2,Chennai,No
EMP20231614,Samar Rajagopal,32,Other,Accounts,Software Engineer,M.Com,66298,6/19/2017,8,4,5,27,Yes,1,4,Divorced,5,14.7,25,Delhi,No
EMP20231615,Ojas Sekhon,26,Other,HR,Office Assistant,B.Tech,62877,7/12/2020,5,3,4,50,No,5,2,Single,5,27.4,1,Hyderabad,No
EMP20231616,Madhup Kibe,56,Male,Sales,Office Assistant,M.Com,63879,9/1/2022,3,0,2,55,Yes,1,1,Married,4,11.1,24,Hyderabad,Yes
EMP20231617,Charvi Sarkar,56,Male,Accounts,HR Executive,BA,105455,5/16/2017,8,7,1,50,Yes,3,1,Divorced,1,43.7,20,Delhi,Yes
EMP20231618,Dishani Khurana,30,Other,Sales,Accounts Officer,Diploma,48783,3/13/2016,9,3,1,30,No,1,4,Married,5,32.6,21,Mumbai,Yes
EMP20231619,Miraan Rajagopalan,46,Other,Accounts,Sales Associate,M.Com,61664,12/23/2017,8,7,3,9,No,5,1,Single,0,34.9,11,Delhi,No
EMP20231620,Indrans Bains,25,Female,Accounts,Office Assistant,MBA,89841,4/4/2017,8,4,3,41,Yes,2,1,Single,0,40.7,30,Hyderabad,Yes
EMP20231621,Devansh Rattan,28,Female,Admin,HR Executive,B.Tech,50411,10/11/2020,5,0,5,50,No,3,3,Single,5,9,17,Mumbai,No
EMP20231622,Veer Kulkarni,24,Other,IT,HR Executive,MBA,89101,11/30/2021,4,2,3,44,No,5,1,Divorced,1,33.4,4,Mumbai,No
EMP20231623,Vihaan Mangat,23,Other,Accounts,Sales Associate,M.Com,22512,1/12/2020,5,1,2,15,No,4,2,Divorced,2,42.9,8,Mumbai,No
EMP20231624,Hunar Dugar,57,Female,Sales,HR Executive,M.Com,74663,1/17/2016,9,6,3,16,No,4,2,Single,3,4.2,4,Delhi,No
EMP20231625,Nirvaan Shukla,40,Male,Accounts,HR Executive,M.Com,34257,11/6/2021,4,3,3,47,No,5,2,Single,4,49.9,26,Kolkata,Yes
EMP20231626,Tanya Bala,56,Male,IT,Office Assistant,B.Tech,103157,8/1/2023,2,0,4,9,No,4,2,Married,5,25.5,25,Mumbai,No
EMP20231627,Samiha Agarwal,23,Male,IT,Sales Associate,B.Tech,72876,10/15/2022,3,2,4,4,No,2,1,Single,4,46.5,0,Pune,No
EMP20231628,Ela Hari,29,Female,HR,HR Executive,MBA,27380,7/17/2021,4,1,5,38,No,2,3,Single,0,20.2,17,Chennai,No
EMP20231629,Siya Dua,28,Female,Sales,Software Engineer,MBA,109769,7/29/2022,3,3,1,0,Yes,2,2,Single,5,42.2,23,Kolkata,No
EMP20231630,Madhup Kata,48,Female,Sales,HR Executive,B.Tech,51865,4/14/2024,1,1,1,57,Yes,3,3,Married,0,20.6,10,Hyderabad,No
EMP20231631,Manikya Sastry,39,Female,Sales,Sales Associate,B.Tech,21998,10/24/2022,3,1,3,38,Yes,2,4,Divorced,2,26.9,17,Bengaluru,No
EMP20231632,Reyansh Lall,39,Male,Admin,Accounts Officer,MBA,15202,9/11/2017,8,3,2,31,Yes,3,2,Married,4,5.5,23,Mumbai,No
EMP20231633,Diya Tara,55,Other,Sales,HR Executive,BA,33264,2/17/2019,6,6,5,5,Yes,3,4,Divorced,3,29.3,29,Bengaluru,No
EMP20231634,Damini Borra,33,Male,HR,Accounts Officer,M.Com,96137,7/18/2017,8,0,1,59,Yes,4,1,Divorced,5,33.4,7,Hyderabad,Yes
EMP20231635,Indrajit Bera,59,Other,HR,Software Engineer,MBA,118360,10/12/2015,10,0,3,29,Yes,4,2,Divorced,3,10,21,Chennai,Yes
EMP20231636,Ishaan Gola,26,Male,Accounts,Software Engineer,M.Com,114805,5/21/2020,5,2,1,34,Yes,3,3,Married,0,26.8,14,Pune,No
EMP20231637,Ayesha Barad,34,Male,IT,Software Engineer,MBA,105394,8/8/2016,9,6,1,42,No,1,4,Divorced,5,3.3,16,Bengaluru,Yes
EMP20231638,Siya Saxena,45,Other,HR,Office Assistant,BA,29274,12/16/2015,10,6,3,49,No,1,1,Married,1,43.8,22,Mumbai,No
EMP20231639,Jhanvi Buch,49,Female,Admin,Accounts Officer,Diploma,37793,1/14/2018,7,5,5,60,Yes,1,2,Married,4,26.4,4,Pune,No
EMP20231640,Shlok Baral,23,Other,HR,Accounts Officer,B.Tech,49339,1/1/2017,8,6,2,0,No,4,1,Married,5,48.8,29,Chennai,No
EMP20231641,Arnav Mandal,40,Other,HR,Office Assistant,M.Com,117111,8/18/2015,10,2,1,41,Yes,1,2,Single,1,23.3,15,Hyderabad,Yes
EMP20231642,Uthkarsh Sidhu,29,Female,HR,HR Executive,B.Tech,55774,12/6/2017,8,2,1,56,Yes,3,4,Divorced,1,31.4,27,Kolkata,No
EMP20231643,Hansh Kala,44,Male,Admin,HR Executive,MBA,110408,3/26/2022,3,1,4,10,No,2,3,Single,2,7.3,14,Pune,No
EMP20231644,Samar Kanda,50,Other,Sales,Software Engineer,M.Com,114384,9/27/2015,10,2,3,12,No,5,1,Single,5,5.6,11,Hyderabad,No
EMP20231645,Hridaan Dada,50,Male,Admin,Sales Associate,B.Tech,83206,9/1/2019,6,3,4,53,No,1,2,Single,1,36.3,28,Pune,Yes
EMP20231646,Kiara Ray,57,Female,IT,Accounts Officer,B.Tech,115667,5/4/2023,2,1,4,3,No,5,2,Married,4,20.9,25,Chennai,No
EMP20231647,Ivan Dora,51,Other,Admin,Software Engineer,BA,62804,8/23/2022,3,1,4,50,No,5,4,Married,2,32.2,7,Chennai,Yes
EMP20231648,Vaibhav Ghose,33,Other,Accounts,Office Assistant,MBA,48102,1/28/2016,9,5,5,13,Yes,1,3,Married,4,15.3,21,Mumbai,No
EMP20231649,Mishti Dhingra,28,Other,HR,Office Assistant,MBA,69374,11/11/2016,9,6,3,9,Yes,4,2,Single,5,49.9,3,Hyderabad,No
EMP20231650,Dishani Ahluwalia,57,Other,Sales,HR Executive,M.Com,44126,10/2/2017,8,8,3,53,Yes,2,4,Single,5,21.2,2,Hyderabad,Yes
EMP20231651,Taran Korpal,49,Female,Accounts,Sales Associate,Diploma,26188,10/22/2015,10,3,5,53,No,1,4,Divorced,5,33.6,21,Hyderabad,No
EMP20231652,Kiara Wali,37,Male,Sales,HR Executive,BA,79440,11/4/2021,4,3,1,56,Yes,4,2,Divorced,1,33.3,22,Pune,Yes
EMP20231653,Neelofar Borah,42,Female,Sales,Software Engineer,M.Com,67792,3/27/2021,4,3,5,8,Yes,3,2,Married,2,3.9,24,Delhi,Yes
EMP20231654,Tushar Chauhan,32,Other,HR,Software Engineer,B.Tech,112178,2/17/2019,6,4,2,35,Yes,2,3,Divorced,1,14.8,14,Bengaluru,No
EMP20231655,Hazel Sura,44,Female,Accounts,HR Executive,M.Com,103894,5/23/2019,6,2,4,21,No,1,1,Divorced,0,46.4,17,Kolkata,No
EMP20231656,Kaira Lad,32,Other,Accounts,Accounts Officer,MBA,111870,6/19/2015,10,8,4,58,No,4,1,Married,1,45.2,8,Mumbai,No
EMP20231657,Ranbir Dar,48,Female,HR,Office Assistant,MBA,40033,2/3/2019,6,0,5,40,Yes,1,4,Single,4,32.9,0,Kolkata,No
EMP20231658,Biju Malhotra,44,Female,Sales,HR Executive,MBA,114785,2/3/2023,2,2,3,47,No,1,3,Single,3,34.3,28,Mumbai,Yes
EMP20231659,Shanaya Suri,43,Male,Sales,Sales Associate,M.Com,64169,11/15/2018,7,2,2,57,Yes,5,4,Married,1,40.5,22,Kolkata,No
EMP20231660,Madhav Dara,54,Other,Sales,Accounts Officer,MBA,43911,3/11/2020,5,3,4,29,Yes,5,4,Married,1,20.5,27,Bengaluru,No
EMP20231661,Lakshit Kapur,48,Female,HR,Software Engineer,B.Tech,90063,11/4/2023,2,1,5,59,No,4,4,Single,3,41.6,13,Pune,No
EMP20231662,Saira Chada,32,Female,Accounts,Accounts Officer,M.Com,16048,11/3/2017,8,5,1,58,No,2,3,Single,1,29,5,Chennai,No
EMP20231663,Tanya Sridhar,58,Other,Admin,Sales Associate,Diploma,34222,7/20/2023,2,2,2,57,No,2,2,Married,1,9.4,19,Bengaluru,Yes
EMP20231664,Nirvi Shah,41,Male,Sales,Office Assistant,M.Com,88359,10/6/2019,6,3,2,39,No,1,3,Divorced,4,4.9,30,Bengaluru,Yes
EMP20231665,Devansh Sarin,53,Other,Accounts,Software Engineer,BA,25386,12/18/2021,4,2,1,42,Yes,5,1,Divorced,3,6.9,15,Delhi,No
EMP20231666,Samar Krishna,53,Male,IT,HR Executive,Diploma,53446,9/4/2022,3,0,4,49,Yes,5,4,Married,2,47,25,Chennai,No
EMP20231667,Tara Sha,42,Female,HR,HR Executive,B.Tech,66826,5/26/2018,7,3,5,36,No,2,1,Married,4,31.6,28,Bengaluru,Yes
EMP20231668,Dhanuk Yadav,41,Female,IT,Office Assistant,MBA,59814,8/27/2020,5,1,5,36,No,1,1,Divorced,0,1.1,9,Pune,No
EMP20231669,Aarna Raj,34,Male,Sales,Sales Associate,BA,54981,10/8/2023,2,2,2,0,No,5,2,Married,0,39.9,3,Hyderabad,Yes
EMP20231670,Kiaan Saran,31,Other,IT,Office Assistant,MBA,49809,6/10/2015,10,6,4,47,No,4,1,Divorced,0,36.5,9,Bengaluru,No
EMP20231671,Ishaan Das,58,Male,Accounts,Accounts Officer,BA,42791,6/20/2020,5,1,2,6,No,4,4,Single,0,36.7,23,Delhi,No
EMP20231672,Madhup Khanna,39,Male,Accounts,Sales Associate,M.Com,79259,7/12/2015,10,9,2,31,No,1,2,Married,0,12.1,16,Mumbai,Yes
EMP20231673,Sahil Deshpande,51,Male,Accounts,HR Executive,Diploma,103679,5/25/2023,2,1,5,55,No,4,1,Single,1,1.5,2,Chennai,No
EMP20231674,Tanya Karan,31,Other,Sales,Software Engineer,M.Com,97941,6/3/2020,5,5,2,10,Yes,4,1,Divorced,1,23,28,Chennai,Yes
EMP20231675,Gatik Edwin,41,Other,Admin,Sales Associate,Diploma,86322,8/26/2018,7,0,4,50,Yes,3,2,Married,1,3.2,2,Kolkata,Yes
EMP20231676,Urvi Rau,40,Male,Sales,HR Executive,Diploma,119649,4/13/2020,5,1,2,60,Yes,5,2,Married,2,14.7,27,Hyderabad,No
EMP20231677,Pari Bhattacharyya,27,Male,Sales,Office Assistant,MBA,50520,12/3/2019,6,1,3,58,Yes,5,1,Single,5,25.3,1,Chennai,Yes
EMP20231678,Mannat Gaba,45,Male,Accounts,HR Executive,B.Tech,88044,6/6/2021,4,4,1,11,No,2,2,Divorced,0,3.4,28,Mumbai,No
EMP20231679,Umang Uppal,39,Female,IT,Software Engineer,MBA,67206,6/6/2019,6,4,5,57,No,3,2,Divorced,4,29.4,16,Mumbai,No
EMP20231680,Mehul Kota,42,Other,Sales,HR Executive,Diploma,90427,1/9/2016,9,8,3,53,No,3,1,Married,1,36.5,15,Kolkata,No
EMP20231681,Aarav Grewal,38,Male,Sales,Software Engineer,BA,37977,7/12/2018,7,1,5,59,No,1,1,Divorced,3,41.6,4,Chennai,No
EMP20231682,Pari Chauhan,31,Female,IT,HR Executive,Diploma,104445,12/24/2020,5,3,3,41,No,2,4,Divorced,4,9.8,28,Chennai,No
EMP20231683,Riaan Sawhney,45,Female,Accounts,HR Executive,Diploma,55544,2/28/2020,5,5,1,26,No,5,2,Divorced,3,15.3,29,Kolkata,No
EMP20231684,Kimaya Kade,41,Male,Sales,HR Executive,B.Tech,24975,2/24/2016,9,7,1,41,No,4,3,Single,1,21.5,18,Pune,No
EMP20231685,Indranil Talwar,51,Male,Sales,Office Assistant,BA,113450,6/12/2022,3,3,5,37,Yes,2,2,Divorced,0,34.2,1,Bengaluru,No
EMP20231686,Yakshit Chander,50,Male,HR,Software Engineer,BA,92379,11/2/2023,2,0,4,28,No,5,2,Married,4,38.8,15,Delhi,Yes
EMP20231687,Samarth Dube,46,Male,IT,Accounts Officer,MBA,60545,2/4/2018,7,2,2,5,Yes,1,1,Married,4,9.5,3,Mumbai,Yes
EMP20231688,Navya Jani,59,Female,IT,Sales Associate,MBA,41791,11/23/2020,5,5,2,27,Yes,3,1,Divorced,5,22.2,1,Hyderabad,Yes
EMP20231689,Dhruv Bhat,32,Female,Sales,Sales Associate,Diploma,86583,4/27/2023,2,0,5,38,Yes,2,2,Single,3,41.8,10,Mumbai,No
EMP20231690,Nirvaan Brahmbhatt,56,Other,HR,Office Assistant,Diploma,24126,7/14/2020,5,3,4,7,Yes,2,3,Divorced,4,44.8,14,Mumbai,Yes
EMP20231691,Sumer Lata,60,Other,Admin,Software Engineer,MBA,63750,4/14/2017,8,7,5,34,Yes,4,1,Married,1,36.7,26,Hyderabad,Yes
EMP20231692,Indrajit Sanghvi,38,Female,Accounts,Accounts Officer,B.Tech,19710,5/30/2024,1,1,5,47,No,1,1,Married,1,18.9,8,Bengaluru,Yes
EMP20231693,Yuvaan Ravi,27,Female,IT,Software Engineer,Diploma,105749,7/11/2019,6,2,2,11,Yes,1,1,Single,1,14,2,Kolkata,No
EMP20231694,Divit Majumdar,31,Other,Accounts,Accounts Officer,M.Com,109153,4/17/2018,7,1,1,6,Yes,4,1,Divorced,4,19.4,29,Pune,Yes
EMP20231695,Chirag Bains,52,Other,HR,HR Executive,Diploma,115892,9/3/2023,2,2,5,13,Yes,1,3,Divorced,3,10.1,7,Kolkata,No
EMP20231696,Indrajit Gara,45,Male,IT,Sales Associate,B.Tech,113830,8/26/2017,8,6,4,32,No,3,2,Divorced,4,38.8,10,Chennai,No
EMP20231697,Hansh Dua,53,Female,HR,HR Executive,M.Com,47750,9/6/2017,8,3,5,51,No,4,4,Divorced,3,39.9,26,Chennai,No
EMP20231698,Fateh Johal,33,Female,Admin,Software Engineer,B.Tech,67611,11/13/2019,6,3,2,20,Yes,2,2,Single,0,45.1,5,Mumbai,Yes
EMP20231699,Oorja Dayal,60,Other,HR,Software Engineer,Diploma,111502,10/23/2023,2,2,2,32,Yes,4,1,Single,1,33.3,4,Delhi,Yes
EMP20231700,Kiaan Chadha,37,Male,Sales,Office Assistant,B.Tech,103265,1/28/2017,8,0,4,30,Yes,5,4,Single,2,30.5,3,Bengaluru,No
EMP20231701,Anahi Bala,39,Male,HR,Accounts Officer,M.Com,88843,4/15/2023,2,2,4,15,No,1,2,Single,5,38.9,20,Kolkata,No
EMP20231702,Ivan Sani,22,Female,IT,Software Engineer,M.Com,106620,1/25/2021,4,2,3,34,No,1,4,Single,1,45.7,30,Delhi,Yes
EMP20231703,Nirvi Bail,49,Female,Sales,Sales Associate,M.Com,48756,8/15/2022,3,3,2,25,No,3,3,Married,1,46.8,3,Bengaluru,Yes
